adep,ades,typecode,icao_operator,flight_duration_minutes,departure_hour,day_of_week
GMME,LFPB,A320,AFR,162.41666666666666,13,0
GMMN,LTFM,B77W,THY,250.5,15,6
GMMN,LIMC,B738,RAM,158.0,15,0
GMMN,LTFM,B738,RAM,254.83333333333334,10,3
GMMN,LFPO,B738,RAM,161.33333333333334,15,1
GMMN,LFPO,E190,RAM,154.91666666666666,15,4
GMMN,LFPG,B752,BCS,179.66666666666666,17,2
GMMN,LIME,A320,MAC,186.5,15,0
GMMN,EBBR,B738,RAM,165.66666666666666,14,5
GMMN,LIMC,B738,RAM,157.83333333333334,15,6
GMMN,LIME,A320,MAC,170.58333333333334,6,1
GMMN,LFPG,A320,AFR,184.5,11,0
GMMN,LIME,A320,MAC,176.5,15,0
GMME,LFLY,B190,TJT,192.33333333333334,14,1
GMMN,LEMG,A320,MAC,72.16666666666667,14,2
GMMN,LFML,AT73,SWT,212.25,10,3
GMMN,LIMC,B738,RAM,163.16666666666666,15,2
GMMN,LFPO,E190,RAM,155.25,15,0
GMMN,EBBR,B738,RAM,197.66666666666666,14,4
GMMN,LFLL,A320,MAC,160.33333333333334,6,3
GMMN,LEMI,A320,ABY,75.08333333333333,6,0
GMMN,LIMC,B738,RAM,161.08333333333334,15,5
GMMN,LFPO,B38M,RAM,173.0,13,0
GMMN,LEMD,B738,RAM,73.41666666666667,14,4
GMMN,LFPG,A320,AFR,173.16666666666666,15,2
GMMN,LFPB,B752,BCS,176.33333333333334,17,2
GMMN,LFPB,A320,AFR,168.0,15,4
GMMN,LFPG,A320,AFR,184.08333333333334,10,3
GMMN,LIMC,B738,RAM,173.0,15,0
GMMN,LFPG,A320,AFR,168.83333333333334,15,6
GMMN,LEMD,B738,RAM,82.91666666666667,14,5
GMMN,LFPO,E190,RAM,173.0,15,2
GMMN,LEMD,E190,RAM,78.16666666666667,14,5
GMMN,LTFM,A333,THY,263.0833333333333,15,6
GMMN,LFPO,E190,RAM,153.25,15,0
GMMN,LEMD,AT72,SWT,119.41666666666667,17,3
GMMN,LEBL,A320,ABY,109.0,14,1
GMMN,LFPO,B738,RAM,180.0,15,2
GMMN,LEMD,B738,RAM,72.08333333333333,14,5
GMMN,LIMC,B738,RAM,162.58333333333334,15,6
GMMN,LTFM,B77W,THY,260.4166666666667,15,4
GMMN,LEMD,A320,IBE,83.58333333333333,11,4
GMMN,LEMD,AT73,SWT,113.75,16,2
GMMN,LEMD,E190,RAM,81.41666666666667,14,0
GMMN,LFPO,B738,RAM,153.91666666666666,15,5
GMMN,LEMD,A319,IBE,78.16666666666667,11,4
GMMN,EHAM,E35L,VLJ,208.0,12,4
GMMN,LFPG,A320,AFR,181.41666666666666,10,6
GMMN,LEMD,AT73,SWT,115.16666666666667,12,0
GMMN,LFPB,B752,BCS,165.33333333333334,17,0
GMMN,LEBL,A320,MAC,95.83333333333333,14,1
GMMN,LFPG,B752,BCS,166.66666666666666,17,1
GMMN,LEMD,AT72,SWT,113.0,17,1
GMMN,LFLL,A320,ABY,147.0,7,3
GMMN,LFPG,A320,AFR,178.33333333333334,10,0
GMMN,LIMC,A332,THY,179.5,23,0
GMMN,LOWW,B788,RAM,193.41666666666666,6,6
GMMN,LTFM,B77W,THY,251.16666666666666,15,6
GMMN,EBBR,B738,RAM,183.0,14,2
GMMN,LEMD,AT72,AEA,113.5,12,1
GMMN,EBBR,B763,RAM,186.0,14,5
GMMN,LFPG,A320,AFR,156.83333333333334,14,6
GMMN,GMME,B738,RAM,24.0,8,6
GMMN,LEBL,B738,RAM,104.75,14,4
GMMN,LIMN,B738,RAM,153.91666666666666,15,5
GMMN,LEMD,E190,RAM,76.16666666666667,14,0
GMMN,LIMC,B738,RAM,177.33333333333334,15,0
GMMN,LIMC,B738,RAM,154.41666666666666,15,5
GMMN,LFPO,B38M,RAM,160.16666666666666,15,2
GMMN,LFPO,B738,RAM,153.75,15,6
GMMN,LFPB,A319,AFR,159.0,10,1
GMMN,LFPG,A319,AFR,165.5,10,6
GMMN,LIME,A320,ABY,175.33333333333334,14,4
GMMN,LEMG,A320,MAC,50.583333333333336,14,2
GMMN,LEMD,AT75,SWT,118.66666666666667,13,1
GMMN,LFPG,A320,AFR,163.83333333333334,15,5
GMMN,LIMC,B738,RAM,178.58333333333334,15,4
GMMN,LTFM,B77W,THY,250.5,15,2
GMMN,EBBR,A306,BCS,195.75,9,6
GMMN,LPPT,B789,RAM,71.33333333333333,11,6
GMMN,LFPG,B752,BCS,164.75,17,4
GMMN,LFPO,B738,RAM,149.5,15,6
GMMN,LEMD,B738,RAM,75.25,14,4
GMMN,LEMD,E190,RAM,75.33333333333333,15,5
GMMN,EBBR,B738,RAM,198.16666666666666,14,6
GMMN,LEBL,E190,RAM,108.33333333333333,14,2
GMME,LFPB,C25A,IXR,175.0,10,3
GMMN,EBBR,B763,RAM,161.83333333333334,14,5
GMMN,LFPG,B752,BCS,156.75,17,0
GMMN,EBBR,B738,RAM,181.16666666666666,14,4
GMMN,LIME,A320,MAC,162.5,14,4
GMMN,LEMI,A320,MAC,66.91666666666667,10,0
GMMN,LFPG,A320,AFR,170.41666666666666,15,0
GMMN,LFPG,B752,BCS,170.25,18,2
GMMN,LFPG,B752,BCS,156.66666666666666,17,1
GMMN,EBBR,E190,RAM,172.16666666666666,14,0
GMMN,LEMD,AT72,SWT,112.0,12,0
GMMN,EBBR,B738,RAM,174.25,14,6
GMMN,GMTT,B738,RAM,40.25,11,2
GMMN,LFPG,A320,AFR,150.25,10,1
GMMN,LIME,A320,MAC,157.66666666666666,6,1
GMMN,LEMD,AT75,SWT,115.08333333333333,17,3
GMMN,LEMD,B738,RAM,77.0,14,2
GMMN,LFML,B734,SWT,141.25,11,4
GMMN,LFPO,B738,RAM,157.75,15,5
GMMN,LEMD,B738,RAM,84.91666666666667,14,0
GMMN,LFPO,B738,RAM,155.16666666666666,15,5
GMMN,LFPG,A320,AFR,181.41666666666666,15,4
GMMN,LFML,AT72,SWT,200.91666666666666,11,2
GMMN,LFPO,B738,RAM,164.75,15,3
GMMN,LFPG,A320,AFR,172.33333333333334,15,2
GMMN,LIMC,B738,RAM,172.66666666666666,15,4
GMMN,EVRA,A320,GJT,277.5833333333333,22,3
GMMN,LIME,A320,ABY,174.41666666666666,6,1
GMMN,LFLL,A320,MAC,136.91666666666666,6,6
GMMN,LFPO,B738,RAM,160.08333333333334,15,3
GMMN,LFPG,A320,AFR,171.91666666666666,10,5
GMMN,LFML,AT72,SWT,211.66666666666666,10,4
GMMN,LFPB,B752,BCS,157.91666666666666,18,0
GMMN,EBBR,A306,BCS,163.08333333333334,9,6
GMMN,LIMC,A332,THY,175.08333333333334,5,1
GMMN,LIME,A320,ABY,170.83333333333334,6,1
GMMN,LIMC,B738,RAM,170.83333333333334,15,6
GMMN,LFPG,B752,BCS,167.66666666666666,18,4
GMMN,LFPB,A321,AFR,160.41666666666666,12,2
GMMN,GMME,E190,RAM,23.083333333333332,7,4
GMMN,LEMD,B738,RAM,75.83333333333333,14,6
GMMN,LEMG,A320,MAC,50.166666666666664,17,6
GMMN,LFML,B738,RAM,133.66666666666666,9,4
GMMN,LIME,A320,ABY,168.83333333333334,6,2
GMMN,EBBR,B763,RAM,166.0,13,6
GMMN,LTFJ,A320,ABY,261.75,16,6
GMMN,LIMC,B738,RAM,164.33333333333334,15,6
GMMN,LEMD,B738,RAM,80.08333333333333,14,4
GMMN,LFLL,A320,MAC,142.25,6,6
GMMN,LEMD,AT73,SWT,115.0,17,2
GMMN,LFPB,A321,AFR,160.5,15,1
GMMN,EBBR,B763,RAM,180.08333333333334,14,5
GMMN,LFPO,B738,RAM,161.66666666666666,15,0
GMME,LFPG,A320,AFR,169.25,13,4
GMMN,LFPG,B752,BCS,179.91666666666666,17,4
GMMN,EBBR,B738,RAM,184.33333333333334,14,4
GMMN,LSZH,A332,THY,177.91666666666666,10,4
GMMN,EBBR,B763,RAM,176.0,14,5
GMMN,EBBR,A306,BCS,190.83333333333334,9,6
GMMN,LEMD,AT73,SWT,114.41666666666667,17,4
GMMN,LIMC,B738,RAM,155.08333333333334,15,4
GMMN,LIME,A320,MAC,171.41666666666666,6,2
GMMN,LIMC,A332,THY,189.0,22,0
GMMN,EBBR,A306,BCS,171.41666666666666,9,6
GMMN,LEMI,A320,MAC,87.66666666666667,10,0
GMMN,LFPO,B738,RAM,161.0,15,0
GMMN,LIMC,B738,RAM,158.0,15,2
GMMN,LEBL,A320,MAC,105.5,17,4
GMMN,LFPO,B38M,RAM,156.91666666666666,15,1
GMME,LFPG,A320,AFR,171.25,13,3
GMMN,LFPB,B738,RAM,158.25,16,0
GMME,LFPG,A320,AFR,168.41666666666666,13,0
GMMN,LFPG,A319,AFR,175.58333333333334,15,3
GMMN,LTFM,B77W,THY,251.83333333333334,10,0
GMMN,LEMD,B738,RAM,78.41666666666667,14,2
GMMN,EBBR,B763,RAM,160.66666666666666,13,6
GMMN,LFSB,A320,MAC,177.58333333333334,7,4
GMMN,LIMC,B738,RAM,159.91666666666666,15,2
GMMN,LFPB,A319,AFR,163.91666666666666,10,3
GMMN,LEMD,AT75,SWT,124.08333333333333,12,2
GMMN,EBBR,B763,RAM,179.66666666666666,10,2
GMMN,LIMC,B738,RAM,162.91666666666666,15,2
GMMN,LFPO,B738,RAM,156.08333333333334,15,6
GMMN,LEMD,AT75,SWT,113.33333333333333,12,0
GMMN,LEMG,A320,MAC,47.0,17,6
GMMN,LEMG,A320,MAC,50.833333333333336,17,6
GMMN,EBBR,E190,RAM,174.16666666666666,14,6
GMMN,LEMD,AT75,SWT,114.0,17,2
GMMN,LIME,A320,MAC,171.75,15,5
GMMN,LFPO,B738,RAM,157.75,15,3
GMMN,LFML,AT75,SWT,207.33333333333334,10,2
GMMN,LFPO,B38M,RAM,153.91666666666666,15,5
GMMN,EBBR,B763,RAM,176.41666666666666,12,6
GMMN,LEMD,E190,RAM,77.83333333333333,14,4
GMMN,LEMD,B738,RAM,75.08333333333333,14,0
GMMN,LEMD,B738,RAM,85.5,15,6
GMMN,LFPO,B738,RAM,155.83333333333334,15,4
GMMN,EBBR,B763,RAM,188.75,14,5
GMMN,EBBR,B763,RAM,196.16666666666666,11,2
GMMN,LFPB,B789,RAM,146.58333333333334,14,5
GMMN,EBBR,B738,RAM,179.0,14,6
GMMN,EBBR,B738,RAM,179.25,14,2
GMMN,LFLL,A320,ABY,140.16666666666666,6,6
GMMN,LFMY,AT73,SWT,210.91666666666666,10,1
GMMN,LEMD,AT75,SWT,133.08333333333334,12,3
GMMN,LFPG,A320,AFR,178.16666666666666,10,4
GMMN,LEMD,AT75,SWT,122.0,12,4
GMMN,LIMC,B738,RAM,171.75,15,5
GMMN,LEMD,B738,RAM,72.33333333333333,14,5
GMMN,LFPB,B752,BCS,159.41666666666666,17,0
GMMN,LIMC,B738,RAM,156.83333333333334,15,5
GMMN,LIME,A320,MAC,168.33333333333334,14,4
GMMN,LFPB,A320,AFR,165.41666666666666,10,5
GMMN,LEMG,A320,AFR,51.583333333333336,17,1
GMMN,LIME,A320,MAC,165.5,6,2
GMMN,LFSB,A320,MAC,176.16666666666666,6,4
GMMN,LIME,A320,MAC,161.75,15,5
GMMN,LOWW,B788,RAM,188.0,6,0
GMMN,LFPB,A319,AFR,159.08333333333334,15,1
GMMN,LFPO,E190,RAM,166.16666666666666,15,3
GMMN,EHAM,B738,RAM,184.25,11,1
GMME,LFPO,B738,RAM,147.16666666666666,10,3
GMMN,LEMD,CRJX,ANE,75.0,13,5
GMMN,LTFM,B77W,THY,259.1666666666667,16,0
GMMN,EGLL,B38M,RAM,157.33333333333334,12,2
GMMN,LIMC,B738,RAM,169.33333333333334,11,1
GMME,LFPG,A319,AFR,165.33333333333334,6,1
GMMN,LEBL,B738,RAM,95.91666666666667,8,5
GMMN,EBBR,B738,RAM,172.08333333333334,11,4
GMMN,LFRN,A320,MAC,143.08333333333334,14,0
GMMN,LIRF,B738,RAM,158.58333333333334,11,3
GMMN,LFPB,A319,AFR,163.33333333333334,7,5
GMMN,LFBO,B738,RAM,104.08333333333333,7,5
GMMN,LFPO,B738,RAM,176.08333333333334,11,2
GMMN,LFPO,B788,RAM,150.91666666666666,13,1
GMMN,LFBO,E550,LWG,110.91666666666667,11,4
GMME,LFPG,A320,AFR,180.5,13,6
GMMN,LTFM,B788,RAM,250.91666666666666,9,4
GMMN,LIMC,B738,RAM,153.08333333333334,7,4
GMMN,LIMC,B738,RAM,150.0,11,5
GMMN,LFBD,B738,RAM,113.83333333333333,15,2
GMMN,LFPO,B738,JAF,152.91666666666666,5,5
GMMN,LEMD,AT75,SWT,129.58333333333334,17,0
GMMN,LEMD,A332,THY,78.16666666666667,20,1
GMME,LFPB,A320,AFR,156.16666666666666,13,6
GMMN,LIRF,E190,RAM,151.66666666666666,11,3
GMMN,LFPO,B738,RAM,162.08333333333334,17,4
GMME,LFPO,B738,RAM,149.0,10,5
GMME,LFML,E190,RAM,146.0,5,0
GMMN,LFJL,B738,JAF,175.83333333333334,16,5
GMMN,LFPO,B38M,RAM,146.5,13,2
GMMN,LEBL,B738,RAM,115.08333333333333,14,1
GMMN,LFML,B738,RAM,130.66666666666666,14,2
GMMN,LFPO,B738,JAF,158.33333333333334,6,4
GMMN,EGKK,B738,RAM,162.0,11,5
GMMN,LPPT,E190,TAP,70.0,10,4
GMMN,LFPG,A321,AFR,153.75,7,5
GMMN,LIPZ,B738,RAM,184.58333333333334,12,1
GMMN,LFPG,A320,AFR,151.91666666666666,10,4
GMMN,LFPO,B738,RAM,173.0,7,2
GMMN,GMME,E190,RAM,23.75,5,3
GMMN,LEMD,B738,RAM,71.83333333333333,15,5
GMME,LFPB,A320,AFR,150.66666666666666,13,5
GMMN,LIPE,A320,MAC,183.66666666666666,6,0
GMMN,LFPO,B738,RAM,159.5,13,0
GMMN,LIPE,B738,RAM,157.25,11,3
GMME,LFPB,A320,AFR,157.08333333333334,13,5
GMMN,LFRS,B738,TVF,133.16666666666666,12,2
GMMN,LSGG,B738,RAM,163.83333333333334,12,3
GMMN,EBBR,B38M,RAM,189.83333333333334,11,6
GMMN,LTFJ,A320,MAC,259.25,15,5
GMMN,EDDF,B738,RAM,194.75,12,1
GMMN,LFPG,B752,BCS,155.58333333333334,17,3
GMMN,EBBR,B38M,RAM,168.08333333333334,12,5
GMMN,LEBL,B738,RAM,108.83333333333333,14,3
GMMN,LTFM,B788,RAM,249.33333333333334,9,0
GMMN,LFPB,A319,AFR,173.5,15,4
GMMN,LFPG,B789,RAM,164.66666666666666,14,6
GMMN,LTFM,B789,RAM,240.41666666666666,9,3
GMMN,LSGG,B738,RAM,159.16666666666666,12,6
GMMN,LFPO,B738,TVF,148.58333333333334,18,2
GMMN,LIMC,A332,THY,196.16666666666666,0,1
GMMN,LIMZ,A320,MAC,147.25,4,4
GMMN,EHAM,B38M,RAM,186.75,11,4
GMMN,LIMZ,A320,MAC,170.25,5,1
GMME,EBCI,B738,RYR,175.08333333333334,18,5
GMMN,LFMY,B738,RAM,133.75,14,6
GMMN,LFPG,A321,AFR,172.91666666666666,7,3
GMMN,LFML,E190,RAM,153.08333333333334,14,0
GMMN,LFSB,A320,MAC,171.08333333333334,6,4
GMMN,LFPB,A320,AFR,172.75,15,0
GMMN,LFPO,B738,RAM,188.33333333333334,7,0
GMMN,LFPO,B738,RAM,151.33333333333334,7,5
GMMN,LFPO,B738,RAM,152.58333333333334,17,3
GMMN,EHAM,B38M,RAM,181.83333333333334,12,3
GMMN,EBBR,B738,RAM,185.08333333333334,12,0
GMMN,LTFM,B789,RAM,252.25,10,0
GMMN,LEMD,CRJX,ANE,81.75,13,6
GMMN,LFPG,B788,RAM,150.5,12,4
GMMN,GMME,B738,RAM,17.416666666666668,19,1
GMMN,LFAV,B738,JAF,193.75,6,0
GMMN,LFBO,E190,RAM,112.33333333333333,7,0
GMMN,LFPG,B738,RAM,179.66666666666666,12,2
GMME,LFPG,A319,AFR,149.5,6,3
GMMN,LIMC,B789,RAM,162.91666666666666,11,5
GMMN,LFPB,A319,AFR,168.25,10,0
GMMN,LTFJ,A320,MAC,271.0,15,5
GMMN,LFLY,B738,RAM,160.25,15,2
GMMN,LFPO,B788,RAM,142.33333333333334,11,5
GMME,LFPO,B738,RAM,141.66666666666666,11,4
GMMN,LFML,B738,RAM,136.83333333333334,14,1
GMMN,LIPZ,B738,RAM,184.25,12,1
GMMN,LFPG,B752,BCS,144.58333333333334,18,4
GMMN,LEMD,B738,RAM,86.83333333333333,14,5
GMME,LFPB,A320,AFR,164.33333333333334,15,0
GMMN,LTFM,B789,RAM,245.91666666666666,9,6
GMMN,LEMD,AT72,SWT,105.66666666666667,11,4
GMMN,LEBL,B738,RAM,99.58333333333333,8,5
GMMN,LFPO,B738,TVF,160.83333333333334,18,4
GMMN,LIMC,B738,RAM,146.83333333333334,11,0
GMMN,LFPO,B738,TVF,145.66666666666666,19,5
GMMN,EGLL,B738,RAM,166.5,12,2
GMMN,LFPG,B752,BCS,167.58333333333334,17,3
GMMN,LFPO,B788,RAM,147.41666666666666,13,5
GMMN,EGLL,B738,RAM,172.58333333333334,12,5
GMMN,LSGG,B738,RAM,145.08333333333334,12,5
GMMN,LTFM,B788,RAM,263.4166666666667,9,1
GMME,LFML,E190,RAM,117.91666666666667,5,4
GMMN,LFPG,A320,AFR,158.08333333333334,15,2
GMME,LFPG,A319,AFR,179.58333333333334,13,1
GMMN,LEMD,B738,RAM,83.41666666666667,15,5
GMMN,EBBR,B738,RAM,161.91666666666666,11,3
GMMN,LFBD,B738,RAM,131.33333333333334,7,0
GMMN,LTBA,B789,RAM,231.33333333333334,9,6
GMMN,LFRS,B738,RAM,135.0,15,4
GMMN,LFST,B738,RAM,186.58333333333334,13,0
GMMN,EDDF,B738,RAM,218.91666666666666,12,0
GMMN,LFBO,A320,MAC,122.66666666666667,6,0
GMMN,LEBL,B738,RAM,109.16666666666667,9,6
GMMN,LIRF,B738,RAM,171.5,11,1
GMMN,LFBO,B738,RAM,125.5,8,6
GMMN,LFBD,B738,RAM,131.83333333333334,7,0
GMMN,LIME,A320,MAC,151.5,17,4
GMMN,LFPG,B738,RAM,160.75,12,1
GMMN,LIME,A320,MAC,182.25,14,0
GMMN,LFPO,B738,RAM,182.5,17,0
GMMN,LOWW,B763,RAM,194.83333333333334,10,2
GMME,LFPB,F900,AOV,158.75,11,1
GMMN,LFBD,B738,RAM,119.41666666666667,7,6
GMMN,LIPE,B738,RAM,166.41666666666666,11,4
GMMN,LIMC,B738,RAM,165.58333333333334,11,3
GMMN,LPPT,B738,RAM,64.33333333333333,11,0
GMMN,LEMD,AT75,SWT,112.41666666666667,17,4
GMMN,LFPO,B788,RAM,146.58333333333334,13,4
GMMN,EHAM,E190,RAM,184.58333333333334,15,4
GMMN,LFLL,B738,RAM,152.83333333333334,14,0
GMMN,LFPG,A320,AFR,146.0,16,4
GMMN,LFJL,B738,JAF,177.16666666666666,14,1
GMMN,LPPT,A319,TAP,62.666666666666664,15,0
GMMN,LFBO,A320,MAC,125.5,6,0
GMME,LFML,E190,RAM,132.16666666666666,5,0
GMMN,LFST,B738,RAM,204.33333333333334,13,0
GMME,LFPO,B738,RAM,161.58333333333334,10,6
GMMN,LIMA,B738,RAM,159.41666666666666,12,1
GMMN,LFPG,B738,RAM,175.41666666666666,12,6
GMME,LFPG,A320,AFR,159.25,13,4
GMMN,EGLL,B38M,RAM,182.16666666666666,12,0
GMME,GMMN,B738,RAM,23.5,3,1
GMMN,LFST,B738,RAM,164.66666666666666,12,0
GMMN,LIMC,B738,RAM,146.33333333333334,11,3
GMMN,LTFM,B788,RAM,260.3333333333333,9,2
GMMN,LFPO,B788,RAM,158.91666666666666,13,4
GMMN,LFQQ,B738,JAF,161.5,5,3
GMTT,EHAM,A320,MAC,164.83333333333334,14,1
GMMN,LTFJ,A21N,PGT,275.9166666666667,0,5
GMMN,LEMD,AT75,SWT,112.41666666666667,17,2
GMTT,LEBL,A320,MAC,76.5,6,5
GMMN,LFBD,B738,RAM,112.58333333333333,15,4
GMMN,LFPG,A320,AFR,153.58333333333334,7,4
GMMN,LFPG,B77W,AFR,142.08333333333334,4,4
GMMN,LFPG,A320,AFR,166.83333333333334,10,1
GMMN,LFPG,A321,AFR,160.75,18,3
GMMN,EDDF,B738,RAM,202.75,12,6
GMMN,EDDF,B738,RAM,204.33333333333334,12,6
GMMN,LFPO,B788,RAM,151.5,13,3
GMMN,LFML,B738,RAM,141.83333333333334,14,1
GMMN,LFPO,B788,RAM,152.25,13,6
GMMN,LIME,A320,MAC,170.08333333333334,17,4
GMMN,LSGG,B738,RAM,155.66666666666666,12,2
GMMN,GMTT,B738,RAM,41.75,23,4
GMMN,LFPG,A321,AFR,164.5,16,0
GMMN,LSGG,A320,MAC,172.16666666666666,7,3
GMMN,LFPG,B752,BCS,169.33333333333334,17,4
GMMN,LFML,B738,RAM,124.5,14,5
GMME,LFOB,B38M,RYR,160.91666666666666,18,0
GMMN,LFPG,A320,AFR,159.66666666666666,15,4
GMME,LFPO,B738,RAM,152.58333333333334,10,3
GMMN,LFST,B738,RAM,174.75,12,3
GMMN,LEMD,CRJX,ANE,77.66666666666667,13,0
GMMN,LFPO,B738,RAM,176.0,7,6
GMMN,LEMD,CRJX,ANE,74.33333333333333,13,1
GMME,EBCI,B738,RYR,177.08333333333334,18,5
GMME,LFPO,B738,RAM,159.91666666666666,18,4
GMMN,EBBR,B737,JAF,169.41666666666666,9,2
GMMN,LIPE,B738,RAM,159.66666666666666,11,6
GMMN,LFPB,A320,AFR,168.5,15,5
GMMN,LEBL,E190,RAM,111.08333333333333,15,4
GMME,LEMD,E190,RAM,72.33333333333333,6,1
GMMN,LTFM,B77W,THY,219.75,15,5
GMMN,LTFJ,A320,MAC,258.5,16,3
GMMN,LPPT,E195,TAP,67.16666666666667,10,2
GMMN,LFPG,A319,AFR,169.08333333333334,11,1
GMMN,EHAM,B738,RAM,194.91666666666666,11,1
GMME,LFPG,A320,AFR,167.58333333333334,13,0
GMMN,LFPO,B738,RAM,148.83333333333334,11,4
GMME,LFPO,B738,TVF,152.66666666666666,16,3
GMMN,LIMZ,A320,MAC,151.5,4,4
GMMN,LFPO,B738,JAF,150.33333333333334,7,4
GMMN,LIMC,B738,RAM,171.66666666666666,11,0
GMMN,LFPB,B738,RAM,150.41666666666666,12,5
GMMN,LEMG,B738,RAM,52.25,9,6
GMMN,LFPO,B738,RAM,155.66666666666666,7,0
GMMN,LTFJ,A320,MAC,259.4166666666667,16,0
GMMN,LTBA,B77W,THY,249.83333333333334,15,2
GMMN,EGLL,B738,RAM,174.16666666666666,12,6
GMMN,LFPG,A321,AFR,179.75,15,0
GMMN,LFLL,B738,RAM,141.0,7,6
GMMN,LFPO,B738,RAM,165.83333333333334,17,5
GMMN,LFPG,A320,AFR,188.83333333333334,7,6
GMMN,LFPG,B788,RAM,147.16666666666666,12,3
GMMN,LPPT,B738,RAM,64.16666666666667,11,1
GMMN,LIPZ,A320,MAC,178.0,14,3
GMME,LFPG,A320,AFR,165.16666666666666,16,3
GMMN,LFPO,B738,RAM,146.66666666666666,11,2
GMME,LFPB,A320,AFR,155.0,13,4
GMMN,EGLL,B38M,RAM,186.91666666666666,12,2
GMMN,LEMD,AT72,AEA,124.5,17,2
GMMN,LFSB,A320,MAC,195.33333333333334,5,2
GMMN,LFML,B738,RAM,128.33333333333334,14,3
GMMN,LEMD,B738,RAM,71.5,9,4
GMME,LEMD,C56X,GES,69.41666666666667,16,0
GMMN,LFPO,B788,RAM,140.91666666666666,11,6
GMMN,EBBR,A320,MAC,165.75,13,3
GMMN,LFBO,B738,RAM,127.5,7,0
GMMN,LFBO,E190,RAM,125.41666666666667,8,0
GMMN,LFBD,B738,RAM,132.58333333333334,7,6
GMMN,LTBA,B77W,THY,236.5,15,6
GMME,GMMN,E190,RAM,23.833333333333332,8,2
GMMN,LIPZ,B738,RAM,156.75,12,5
GMME,LFPO,B738,JAF,148.08333333333334,14,6
GMMN,LIMC,B738,RAM,167.5,11,6
GMMN,LFPG,A320,AFR,178.16666666666666,7,1
GMME,LFPO,B738,RAM,175.33333333333334,11,0
GMMN,LEMD,A319,IBE,72.33333333333333,13,4
GMMN,LFPG,A319,AFR,180.0,18,5
GMMN,LPPT,E195,TAP,69.5,10,2
GMMN,LTFJ,A320,MAC,274.8333333333333,15,0
GMMN,LFPG,A320,AFR,158.41666666666666,15,2
GMMN,EBBR,B763,RAM,196.08333333333334,13,6
GMMN,LLBG,B738,ELY,288.4166666666667,22,5
GMMN,LIRF,B738,RAM,170.33333333333334,12,0
GMMN,LFPO,B738,RAM,159.83333333333334,7,1
GMMN,LFPG,A320,AFR,157.33333333333334,19,4
GMMN,LIPZ,B738,RAM,184.91666666666666,12,3
GMME,EBCI,B738,RYR,172.83333333333334,19,1
GMMN,LFRN,A320,MAC,143.41666666666666,13,0
GMMN,LIMF,B738,RAM,159.75,12,1
GMMN,LFMN,B738,RAM,132.25,13,0
