adep,ades,typecode,icao_operator,first_seen,last_seen,flight_duration_minutes
GMMN,LTFM,A332,THY,2022-01-07 15:50:40,2022-01-07 20:05:50,255.16666666666666
GMMN,LIMC,B738,RAM,2022-01-16 15:04:35,2022-01-16 17:34:50,150.25
GMMN,EBBR,B763,RAM,2022-01-09 13:11:40,2022-01-09 16:25:00,193.33333333333334
GMMN,LEMD,B738,RAM,2022-01-09 14:52:20,2022-01-09 16:12:40,80.33333333333333
GMMN,LEMD,E190,RAM,2022-01-30 14:47:40,2022-01-30 15:59:35,71.91666666666667
GMMN,LFPB,B752,BCS,2022-01-11 17:42:45,2022-01-11 20:36:20,173.58333333333334
GMMN,LEMD,E190,RAM,2022-01-02 14:53:35,2022-01-02 16:12:50,79.25
GMMN,LFPO,B738,RAM,2022-01-16 15:37:35,2022-01-16 18:14:30,156.91666666666666
GMMN,LIRF,B38M,NOS,2022-01-04 12:29:20,2022-01-04 15:13:50,164.5
GMMN,LTFM,B77W,THY,2022-01-16 15:31:00,2022-01-16 19:40:55,249.91666666666666
GMME,LFPG,A319,AFR,2022-01-08 13:23:25,2022-01-08 16:14:00,170.58333333333334
GMMN,LEMG,A320,MAC,2022-01-05 14:22:20,2022-01-05 15:13:10,50.833333333333336
GMMN,LEBL,E190,RAM,2022-01-15 14:42:45,2022-01-15 16:29:45,107.0
GMME,LEAL,E35L,VLJ,2022-01-16 15:36:05,2022-01-16 16:48:10,72.08333333333333
GMMN,LEMG,A320,MAC,2022-01-23 17:24:55,2022-01-23 18:12:45,47.833333333333336
GMMN,EBBR,B763,RAM,2022-01-16 13:00:20,2022-01-16 15:50:20,170.0
GMMN,LEMI,A320,MAC,2022-01-28 05:56:10,2022-01-28 06:59:55,63.75
GMMN,EBBR,B738,RAM,2022-01-12 14:15:25,2022-01-12 17:18:10,182.75
GMMN,LEMG,E190,RAM,2022-01-09 16:06:35,2022-01-09 16:54:30,47.916666666666664
GMMN,LFPG,B752,BCS,2022-01-20 17:48:10,2022-01-20 20:39:50,171.66666666666666
GMMN,EBBR,B763,RAM,2022-01-06 06:20:55,2022-01-06 09:25:15,184.33333333333334
GMMN,LEBL,A320,MAC,2022-01-07 18:04:35,2022-01-07 19:55:20,110.75
GMMN,LFSB,A320,MAC,2022-01-21 06:20:10,2022-01-21 09:21:30,181.33333333333334
GMMN,LEBL,E190,RAM,2022-01-24 14:48:35,2022-01-24 16:35:25,106.83333333333333
GMMN,LFPO,B738,RAM,2022-01-08 15:41:05,2022-01-08 18:29:15,168.16666666666666
GMME,LFPB,A320,AFR,2022-01-10 13:06:10,2022-01-10 15:48:35,162.41666666666666
GMMN,LTFM,B77W,THY,2022-01-23 15:36:00,2022-01-23 19:46:30,250.5
GMMN,LIMC,B738,RAM,2022-01-03 15:11:05,2022-01-03 17:49:05,158.0
GMMN,LTFM,B738,RAM,2022-01-20 10:01:15,2022-01-20 14:16:05,254.83333333333334
GMMN,LFPO,B738,RAM,2022-01-11 15:32:20,2022-01-11 18:13:40,161.33333333333334
GMMN,LFPO,E190,RAM,2022-01-21 15:26:55,2022-01-21 18:01:50,154.91666666666666
GMMN,LFPG,B752,BCS,2022-01-05 17:50:05,2022-01-05 20:49:45,179.66666666666666
GMMN,LIME,A320,MAC,2022-01-31 15:15:55,2022-01-31 18:22:25,186.5
GMMN,EBBR,B738,RAM,2022-01-01 14:11:10,2022-01-01 16:56:50,165.66666666666666
GMMN,LIMC,B738,RAM,2022-01-02 15:20:15,2022-01-02 17:58:05,157.83333333333334
GMMN,LIME,A320,MAC,2022-01-25 06:35:05,2022-01-25 09:25:40,170.58333333333334
GMMN,LFPG,A320,AFR,2022-01-31 11:47:50,2022-01-31 14:52:20,184.5
GMMN,LIME,A320,MAC,2022-01-17 15:28:55,2022-01-17 18:25:25,176.5
GMME,LFLY,B190,TJT,2022-01-04 14:26:30,2022-01-04 17:38:50,192.33333333333334
GMMN,LEMG,A320,MAC,2022-01-12 14:12:20,2022-01-12 15:24:30,72.16666666666667
GMMN,LFML,AT73,SWT,2022-01-13 10:42:35,2022-01-13 14:14:50,212.25
GMMN,LIMC,B738,RAM,2022-01-26 15:11:00,2022-01-26 17:54:10,163.16666666666666
GMMN,LFPO,E190,RAM,2022-01-17 15:37:35,2022-01-17 18:12:50,155.25
GMMN,EBBR,B738,RAM,2022-01-28 14:15:30,2022-01-28 17:33:10,197.66666666666666
GMMN,LFLL,A320,MAC,2022-01-06 06:13:05,2022-01-06 08:53:25,160.33333333333334
GMMN,LEMI,A320,ABY,2022-01-10 06:48:50,2022-01-10 08:03:55,75.08333333333333
GMMN,LIMC,B738,RAM,2022-01-29 15:03:55,2022-01-29 17:45:00,161.08333333333334
GMMN,LFPO,B38M,RAM,2022-01-31 13:21:10,2022-01-31 16:14:10,173.0
GMMN,LEMD,B738,RAM,2022-01-14 14:58:40,2022-01-14 16:12:05,73.41666666666667
GMMN,LFPG,A320,AFR,2022-01-19 15:47:55,2022-01-19 18:41:05,173.16666666666666
GMMN,LFPB,B752,BCS,2022-01-12 17:43:20,2022-01-12 20:39:40,176.33333333333334
GMMN,LFPB,A320,AFR,2022-01-14 15:42:50,2022-01-14 18:30:50,168.0
GMMN,LFPG,A320,AFR,2022-01-06 10:20:20,2022-01-06 13:24:25,184.08333333333334
GMMN,LIMC,B738,RAM,2022-01-24 15:06:55,2022-01-24 17:59:55,173.0
GMMN,LFPG,A320,AFR,2022-01-30 15:41:25,2022-01-30 18:30:15,168.83333333333334
GMMN,LEMD,B738,RAM,2022-01-08 14:59:00,2022-01-08 16:21:55,82.91666666666667
GMMN,LFPO,E190,RAM,2022-01-19 15:37:55,2022-01-19 18:30:55,173.0
GMMN,LEMD,E190,RAM,2022-01-15 14:46:45,2022-01-15 16:04:55,78.16666666666667
GMMN,LTFM,A333,THY,2022-01-09 15:45:55,2022-01-09 20:09:00,263.0833333333333
GMMN,LFPO,E190,RAM,2022-01-24 15:32:20,2022-01-24 18:05:35,153.25
GMMN,LEMD,AT72,SWT,2022-01-20 17:26:55,2022-01-20 19:26:20,119.41666666666667
GMMN,LEBL,A320,ABY,2022-01-11 14:31:25,2022-01-11 16:20:25,109.0
GMMN,LFPO,B738,RAM,2022-01-05 15:33:45,2022-01-05 18:33:45,180.0
GMMN,LEMD,B738,RAM,2022-01-29 14:47:15,2022-01-29 15:59:20,72.08333333333333
GMMN,LIMC,B738,RAM,2022-01-23 15:07:45,2022-01-23 17:50:20,162.58333333333334
GMMN,LTFM,B77W,THY,2022-01-14 15:51:05,2022-01-14 20:11:30,260.4166666666667
GMMN,LEMD,A320,IBE,2022-01-07 11:24:30,2022-01-07 12:48:05,83.58333333333333
GMMN,LEMD,AT73,SWT,2022-01-12 16:55:35,2022-01-12 18:49:20,113.75
GMMN,LEMD,E190,RAM,2022-01-31 14:56:10,2022-01-31 16:17:35,81.41666666666667
GMMN,LFPO,B738,RAM,2022-01-01 15:24:40,2022-01-01 17:58:35,153.91666666666666
GMMN,LEMD,A319,IBE,2022-01-14 11:34:15,2022-01-14 12:52:25,78.16666666666667
GMMN,EHAM,E35L,VLJ,2022-01-21 12:18:15,2022-01-21 15:46:15,208.0
GMMN,LFPG,A320,AFR,2022-01-09 10:06:20,2022-01-09 13:07:45,181.41666666666666
GMMN,LEMD,AT73,SWT,2022-01-17 12:18:45,2022-01-17 14:13:55,115.16666666666667
GMMN,LFPB,B752,BCS,2022-01-10 17:43:45,2022-01-10 20:29:05,165.33333333333334
GMMN,LEBL,A320,MAC,2022-01-04 14:42:30,2022-01-04 16:18:20,95.83333333333333
GMMN,LFPG,B752,BCS,2022-01-25 17:59:00,2022-01-25 20:45:40,166.66666666666666
GMMN,LEMD,AT72,SWT,2022-01-25 17:13:10,2022-01-25 19:06:10,113.0
GMMN,LFLL,A320,ABY,2022-01-13 07:32:20,2022-01-13 09:59:20,147.0
GMMN,LFPG,A320,AFR,2022-01-31 10:29:05,2022-01-31 13:27:25,178.33333333333334
GMMN,LIMC,A332,THY,2022-01-17 23:00:25,2022-01-18 01:59:55,179.5
GMMN,LOWW,B788,RAM,2022-01-02 06:05:05,2022-01-02 09:18:30,193.41666666666666
GMMN,LTFM,B77W,THY,2022-01-30 15:48:45,2022-01-30 19:59:55,251.16666666666666
GMMN,EBBR,B738,RAM,2022-01-19 14:20:15,2022-01-19 17:23:15,183.0
GMMN,LEMD,AT72,AEA,2022-01-04 12:16:20,2022-01-04 14:09:50,113.5
GMMN,EBBR,B763,RAM,2022-01-08 14:38:55,2022-01-08 17:44:55,186.0
GMMN,LFPG,A320,AFR,2022-01-02 14:11:00,2022-01-02 16:47:50,156.83333333333334
GMMN,GMME,B738,RAM,2022-01-02 08:45:30,2022-01-02 09:09:30,24.0
GMMN,LEBL,B738,RAM,2022-01-07 14:49:25,2022-01-07 16:34:10,104.75
GMMN,LIMN,B738,RAM,2022-01-15 15:16:45,2022-01-15 17:50:40,153.91666666666666
GMMN,LEMD,E190,RAM,2022-01-03 14:52:25,2022-01-03 16:08:35,76.16666666666667
GMMN,LIMC,B738,RAM,2022-01-31 15:10:30,2022-01-31 18:07:50,177.33333333333334
GMMN,LIMC,B738,RAM,2022-01-01 15:11:45,2022-01-01 17:46:10,154.41666666666666
GMMN,LFPO,B38M,RAM,2022-01-12 15:32:25,2022-01-12 18:12:35,160.16666666666666
GMMN,LFPO,B738,RAM,2022-01-23 15:33:30,2022-01-23 18:07:15,153.75
GMMN,LFPB,A319,AFR,2022-01-11 10:22:00,2022-01-11 13:01:00,159.0
GMMN,LFPG,A319,AFR,2022-01-02 10:32:25,2022-01-02 13:17:55,165.5
GMMN,LIME,A320,ABY,2022-01-21 14:38:20,2022-01-21 17:33:40,175.33333333333334
GMMN,LEMG,A320,MAC,2022-01-19 14:24:35,2022-01-19 15:15:10,50.583333333333336
GMMN,LEMD,AT75,SWT,2022-01-11 13:03:25,2022-01-11 15:02:05,118.66666666666667
GMMN,LFPG,A320,AFR,2022-01-01 15:41:20,2022-01-01 18:25:10,163.83333333333334
GMMN,LIMC,B738,RAM,2022-01-28 15:11:25,2022-01-28 18:10:00,178.58333333333334
GMMN,LTFM,B77W,THY,2022-01-05 15:46:05,2022-01-05 19:56:35,250.5
GMMN,EBBR,A306,BCS,2022-01-09 09:22:50,2022-01-09 12:38:35,195.75
GMMN,LPPT,B789,RAM,2022-01-02 11:13:30,2022-01-02 12:24:50,71.33333333333333
GMMN,LFPG,B752,BCS,2022-01-28 17:55:25,2022-01-28 20:40:10,164.75
GMMN,LFPO,B738,RAM,2022-01-30 15:30:20,2022-01-30 17:59:50,149.5
GMMN,LEMD,B738,RAM,2022-01-21 14:50:35,2022-01-21 16:05:50,75.25
GMMN,LEMD,E190,RAM,2022-01-01 15:02:40,2022-01-01 16:18:00,75.33333333333333
GMMN,EBBR,B738,RAM,2022-01-09 14:21:20,2022-01-09 17:39:30,198.16666666666666
GMMN,LEBL,E190,RAM,2022-01-26 14:50:00,2022-01-26 16:38:20,108.33333333333333
GMME,LFPB,C25A,IXR,2022-01-27 10:47:05,2022-01-27 13:42:05,175.0
GMMN,EBBR,B763,RAM,2022-01-01 14:35:45,2022-01-01 17:17:35,161.83333333333334
GMMN,LFPG,B752,BCS,2022-01-03 17:45:30,2022-01-03 20:22:15,156.75
GMMN,EBBR,B738,RAM,2022-01-07 14:09:35,2022-01-07 17:10:45,181.16666666666666
GMMN,LIME,A320,MAC,2022-01-07 14:07:25,2022-01-07 16:49:55,162.5
GMMN,LEMI,A320,MAC,2022-01-24 10:20:00,2022-01-24 11:26:55,66.91666666666667
GMMN,LFPG,A320,AFR,2022-01-03 15:38:00,2022-01-03 18:28:25,170.41666666666666
GMMN,LFPG,B752,BCS,2022-01-19 18:07:20,2022-01-19 20:57:35,170.25
GMMN,LFPG,B752,BCS,2022-01-04 17:57:50,2022-01-04 20:34:30,156.66666666666666
GMMN,EBBR,E190,RAM,2022-01-03 14:02:40,2022-01-03 16:54:50,172.16666666666666
GMMN,LEMD,AT72,SWT,2022-01-24 12:30:40,2022-01-24 14:22:40,112.0
GMMN,EBBR,B738,RAM,2022-01-16 14:06:30,2022-01-16 17:00:45,174.25
GMMN,GMTT,B738,RAM,2022-01-05 11:12:20,2022-01-05 11:52:35,40.25
GMMN,LFPG,A320,AFR,2022-01-04 10:36:40,2022-01-04 13:06:55,150.25
GMMN,LIME,A320,MAC,2022-01-04 06:36:15,2022-01-04 09:13:55,157.66666666666666
GMMN,LEMD,AT75,SWT,2022-01-27 17:02:00,2022-01-27 18:57:05,115.08333333333333
GMMN,LEMD,B738,RAM,2022-01-12 14:47:45,2022-01-12 16:04:45,77.0
GMMN,LFML,B734,SWT,2022-01-07 11:15:25,2022-01-07 13:36:40,141.25
GMMN,LFPO,B738,RAM,2022-01-29 15:36:40,2022-01-29 18:14:25,157.75
GMMN,LEMD,B738,RAM,2022-01-10 14:43:55,2022-01-10 16:08:50,84.91666666666667
GMMN,LFPO,B738,RAM,2022-01-15 15:29:50,2022-01-15 18:05:00,155.16666666666666
GMMN,LFPG,A320,AFR,2022-01-28 15:37:20,2022-01-28 18:38:45,181.41666666666666
GMMN,LFML,AT72,SWT,2022-01-19 11:37:25,2022-01-19 14:58:20,200.91666666666666
GMMN,LFPO,B738,RAM,2022-01-06 15:33:25,2022-01-06 18:18:10,164.75
GMMN,LFPG,A320,AFR,2022-01-26 15:38:30,2022-01-26 18:30:50,172.33333333333334
GMMN,LIMC,B738,RAM,2022-01-21 15:07:15,2022-01-21 17:59:55,172.66666666666666
GMMN,EVRA,A320,GJT,2022-01-27 22:09:10,2022-01-28 02:46:45,277.5833333333333
GMMN,LIME,A320,ABY,2022-01-11 06:33:00,2022-01-11 09:27:25,174.41666666666666
GMMN,LFLL,A320,MAC,2022-01-30 06:43:00,2022-01-30 08:59:55,136.91666666666666
GMMN,LFPO,B738,RAM,2022-01-27 15:32:30,2022-01-27 18:12:35,160.08333333333334
GMMN,LFPG,A320,AFR,2022-01-08 10:31:25,2022-01-08 13:23:20,171.91666666666666
GMMN,LFML,AT72,SWT,2022-01-21 10:49:50,2022-01-21 14:21:30,211.66666666666666
GMMN,LFPB,B752,BCS,2022-01-24 18:10:20,2022-01-24 20:48:15,157.91666666666666
GMMN,EBBR,A306,BCS,2022-01-02 09:30:05,2022-01-02 12:13:10,163.08333333333334
GMMN,LIMC,A332,THY,2022-01-04 05:05:35,2022-01-04 08:00:40,175.08333333333334
GMMN,LIME,A320,ABY,2022-01-18 06:49:50,2022-01-18 09:40:40,170.83333333333334
GMMN,LIMC,B738,RAM,2022-01-09 15:16:50,2022-01-09 18:07:40,170.83333333333334
GMMN,LFPG,B752,BCS,2022-01-21 18:02:40,2022-01-21 20:50:20,167.66666666666666
GMMN,LFPB,A321,AFR,2022-01-12 12:09:40,2022-01-12 14:50:05,160.41666666666666
GMMN,GMME,E190,RAM,2022-01-28 07:11:35,2022-01-28 07:34:40,23.083333333333332
GMMN,LEMD,B738,RAM,2022-01-23 14:46:15,2022-01-23 16:02:05,75.83333333333333
GMMN,LEMG,A320,MAC,2022-01-09 17:34:05,2022-01-09 18:24:15,50.166666666666664
GMMN,LFML,B738,RAM,2022-01-28 09:15:55,2022-01-28 11:29:35,133.66666666666666
GMMN,LIME,A320,ABY,2022-01-19 06:44:00,2022-01-19 09:32:50,168.83333333333334
GMMN,EBBR,B763,RAM,2022-01-02 13:05:20,2022-01-02 15:51:20,166.0
GMMN,LTFJ,A320,ABY,2022-01-16 16:03:25,2022-01-16 20:25:10,261.75
GMMN,LIMC,B738,RAM,2022-01-30 15:02:20,2022-01-30 17:46:40,164.33333333333334
GMMN,LEMD,B738,RAM,2022-01-28 14:52:05,2022-01-28 16:12:10,80.08333333333333
GMMN,LFLL,A320,MAC,2022-01-23 06:46:40,2022-01-23 09:08:55,142.25
GMMN,LEMD,AT73,SWT,2022-01-19 17:08:45,2022-01-19 19:03:45,115.0
GMMN,LFPB,A321,AFR,2022-01-18 15:09:25,2022-01-18 17:49:55,160.5
GMMN,EBBR,B763,RAM,2022-01-22 14:23:25,2022-01-22 17:23:30,180.08333333333334
GMMN,LFPO,B738,RAM,2022-01-03 15:20:50,2022-01-03 18:02:30,161.66666666666666
GMME,LFPG,A320,AFR,2022-01-28 13:06:00,2022-01-28 15:55:15,169.25
GMMN,LFPG,B752,BCS,2022-01-07 17:45:35,2022-01-07 20:45:30,179.91666666666666
GMMN,EBBR,B738,RAM,2022-01-21 14:10:25,2022-01-21 17:14:45,184.33333333333334
GMMN,LSZH,A332,THY,2022-01-14 10:39:25,2022-01-14 13:37:20,177.91666666666666
GMMN,EBBR,B763,RAM,2022-01-15 14:12:00,2022-01-15 17:08:00,176.0
GMMN,EBBR,A306,BCS,2022-01-23 09:17:45,2022-01-23 12:28:35,190.83333333333334
GMMN,LEMD,AT73,SWT,2022-01-14 17:03:30,2022-01-14 18:57:55,114.41666666666667
GMMN,LIMC,B738,RAM,2022-01-07 15:04:30,2022-01-07 17:39:35,155.08333333333334
GMMN,LIME,A320,MAC,2022-01-12 06:40:40,2022-01-12 09:32:05,171.41666666666666
GMMN,LIMC,A332,THY,2022-01-10 22:50:00,2022-01-11 01:59:00,189.0
GMMN,EBBR,A306,BCS,2022-01-30 09:15:15,2022-01-30 12:06:40,171.41666666666666
GMMN,LEMI,A320,MAC,2022-01-31 10:43:05,2022-01-31 12:10:45,87.66666666666667
GMMN,LFPO,B738,RAM,2022-01-10 15:47:20,2022-01-10 18:28:20,161.0
GMMN,LIMC,B738,RAM,2022-01-05 15:08:10,2022-01-05 17:46:10,158.0
GMMN,LEBL,A320,MAC,2022-01-28 17:50:30,2022-01-28 19:36:00,105.5
GMMN,LFPO,B38M,RAM,2022-01-25 15:24:00,2022-01-25 18:00:55,156.91666666666666
GMME,LFPG,A320,AFR,2022-01-06 13:08:40,2022-01-06 15:59:55,171.25
GMMN,LFPB,B738,RAM,2022-01-10 16:19:25,2022-01-10 18:57:40,158.25
GMME,LFPG,A320,AFR,2022-01-17 13:06:15,2022-01-17 15:54:40,168.41666666666666
GMMN,LFPG,A319,AFR,2022-01-20 15:38:50,2022-01-20 18:34:25,175.58333333333334
GMMN,LTFM,B77W,THY,2022-01-10 10:34:50,2022-01-10 14:46:40,251.83333333333334
GMMN,LEMD,B738,RAM,2022-01-19 14:52:30,2022-01-19 16:10:55,78.41666666666667
GMMN,EBBR,B763,RAM,2022-01-30 13:11:40,2022-01-30 15:52:20,160.66666666666666
GMMN,LFSB,A320,MAC,2022-01-07 07:47:35,2022-01-07 10:45:10,177.58333333333334
GMMN,LIMC,B738,RAM,2022-01-19 15:20:00,2022-01-19 17:59:55,159.91666666666666
GMMN,LFPB,A319,AFR,2022-01-13 10:28:15,2022-01-13 13:12:10,163.91666666666666
GMMN,LEMD,AT75,SWT,2022-01-05 12:22:55,2022-01-05 14:27:00,124.08333333333333
GMMN,EBBR,B763,RAM,2022-01-12 10:52:35,2022-01-12 13:52:15,179.66666666666666
GMMN,LIMC,B738,RAM,2022-01-12 15:11:45,2022-01-12 17:54:40,162.91666666666666
GMMN,LFPO,B738,RAM,2022-01-02 15:27:20,2022-01-02 18:03:25,156.08333333333334
GMMN,LEMD,AT75,SWT,2022-01-31 12:16:40,2022-01-31 14:10:00,113.33333333333333
GMMN,LEMG,A320,MAC,2022-01-30 17:24:50,2022-01-30 18:11:50,47.0
GMMN,LEMG,A320,MAC,2022-01-16 17:34:45,2022-01-16 18:25:35,50.833333333333336
GMMN,EBBR,E190,RAM,2022-01-02 14:08:10,2022-01-02 17:02:20,174.16666666666666
GMMN,LEMD,AT75,SWT,2022-01-26 17:15:15,2022-01-26 19:09:15,114.0
GMMN,LIME,A320,MAC,2022-01-29 15:30:20,2022-01-29 18:22:05,171.75
GMMN,LFPO,B738,RAM,2022-01-13 15:17:45,2022-01-13 17:55:30,157.75
GMMN,LFML,AT75,SWT,2022-01-26 10:47:50,2022-01-26 14:15:10,207.33333333333334
GMMN,LFPO,B38M,RAM,2022-01-22 15:38:25,2022-01-22 18:12:20,153.91666666666666
GMMN,EBBR,B763,RAM,2022-01-23 12:57:10,2022-01-23 15:53:35,176.41666666666666
GMMN,LEMD,E190,RAM,2022-01-07 14:44:10,2022-01-07 16:02:00,77.83333333333333
GMMN,LEMD,B738,RAM,2022-01-17 14:53:15,2022-01-17 16:08:20,75.08333333333333
GMMN,LEMD,B738,RAM,2022-01-16 15:01:20,2022-01-16 16:26:50,85.5
GMMN,LFPO,B738,RAM,2022-01-14 15:35:05,2022-01-14 18:10:55,155.83333333333334
GMMN,EBBR,B763,RAM,2022-01-29 14:10:15,2022-01-29 17:19:00,188.75
GMMN,EBBR,B763,RAM,2022-01-05 11:06:50,2022-01-05 14:23:00,196.16666666666666
GMMN,LFPB,B789,RAM,2022-01-22 14:18:10,2022-01-22 16:44:45,146.58333333333334
GMMN,EBBR,B738,RAM,2022-01-23 14:10:00,2022-01-23 17:09:00,179.0
GMMN,EBBR,B738,RAM,2022-01-26 14:09:10,2022-01-26 17:08:25,179.25
GMMN,LFLL,A320,ABY,2022-01-16 06:33:35,2022-01-16 08:53:45,140.16666666666666
GMMN,LFMY,AT73,SWT,2022-01-18 10:59:25,2022-01-18 14:30:20,210.91666666666666
GMMN,LEMD,AT75,SWT,2022-01-06 12:13:55,2022-01-06 14:27:00,133.08333333333334
GMMN,LFPG,A320,AFR,2022-01-07 10:19:35,2022-01-07 13:17:45,178.16666666666666
GMMN,LEMD,AT75,SWT,2022-01-07 12:07:15,2022-01-07 14:09:15,122.0
GMMN,LIMC,B738,RAM,2022-01-08 15:13:30,2022-01-08 18:05:15,171.75
GMMN,LEMD,B738,RAM,2022-01-22 14:49:00,2022-01-22 16:01:20,72.33333333333333
GMMN,LFPB,B752,BCS,2022-01-17 17:57:05,2022-01-17 20:36:30,159.41666666666666
GMMN,LIMC,B738,RAM,2022-01-22 15:28:10,2022-01-22 18:05:00,156.83333333333334
GMMN,LIME,A320,MAC,2022-01-14 14:11:00,2022-01-14 16:59:20,168.33333333333334
GMMN,LFPB,A320,AFR,2022-01-22 10:38:10,2022-01-22 13:23:35,165.41666666666666
GMMN,LEMG,A320,AFR,2022-01-11 17:48:20,2022-01-11 18:39:55,51.583333333333336
GMMN,LIME,A320,MAC,2022-01-05 06:43:30,2022-01-05 09:29:00,165.5
GMMN,LFSB,A320,MAC,2022-01-14 06:12:40,2022-01-14 09:08:50,176.16666666666666
GMMN,LIME,A320,MAC,2022-01-15 15:39:35,2022-01-15 18:21:20,161.75
GMMN,LOWW,B788,RAM,2022-01-03 06:15:50,2022-01-03 09:23:50,188.0
GMMN,LFPB,A319,AFR,2022-01-18 15:36:30,2022-01-18 18:15:35,159.08333333333334
GMMN,LFPO,E190,RAM,2022-01-20 15:33:30,2022-01-20 18:19:40,166.16666666666666
GMMN,EHAM,B738,RAM,2022-02-08 11:51:40,2022-02-08 14:55:55,184.25
GMME,LFPO,B738,RAM,2022-02-10 10:14:40,2022-02-10 12:41:50,147.16666666666666
GMMN,LEMD,CRJX,ANE,2022-02-19 13:03:25,2022-02-19 14:18:25,75.0
GMMN,LTFM,B77W,THY,2022-02-07 16:01:15,2022-02-07 20:20:25,259.1666666666667
GMMN,EGLL,B38M,RAM,2022-02-23 12:50:10,2022-02-23 15:27:30,157.33333333333334
GMMN,LIMC,B738,RAM,2022-02-15 11:33:30,2022-02-15 14:22:50,169.33333333333334
GMME,LFPG,A319,AFR,2022-02-15 06:04:10,2022-02-15 08:49:30,165.33333333333334
GMMN,LEBL,B738,RAM,2022-02-26 08:56:55,2022-02-26 10:32:50,95.91666666666667
GMMN,EBBR,B738,RAM,2022-02-25 11:56:25,2022-02-25 14:48:30,172.08333333333334
GMMN,LFRN,A320,MAC,2022-02-07 14:36:50,2022-02-07 16:59:55,143.08333333333334
GMMN,LIRF,B738,RAM,2022-02-10 11:42:30,2022-02-10 14:21:05,158.58333333333334
GMMN,LFPB,A319,AFR,2022-02-26 07:26:15,2022-02-26 10:09:35,163.33333333333334
GMMN,LFBO,B738,RAM,2022-02-19 07:34:05,2022-02-19 09:18:10,104.08333333333333
GMMN,LFPO,B738,RAM,2022-02-16 11:32:50,2022-02-16 14:28:55,176.08333333333334
GMMN,LFPO,B788,RAM,2022-02-08 13:26:30,2022-02-08 15:57:25,150.91666666666666
GMMN,LFBO,E550,LWG,2022-02-18 11:24:20,2022-02-18 13:15:15,110.91666666666667
GMME,LFPG,A320,AFR,2022-02-13 13:30:05,2022-02-13 16:30:35,180.5
GMMN,LTFM,B788,RAM,2022-02-18 09:05:50,2022-02-18 13:16:45,250.91666666666666
GMMN,LIMC,B738,RAM,2022-02-11 07:29:15,2022-02-11 10:02:20,153.08333333333334
GMMN,LIMC,B738,RAM,2022-02-19 11:37:00,2022-02-19 14:07:00,150.0
GMMN,LFBD,B738,RAM,2022-02-23 15:00:25,2022-02-23 16:54:15,113.83333333333333
GMMN,LFPO,B738,JAF,2022-02-19 05:25:50,2022-02-19 07:58:45,152.91666666666666
GMMN,LEMD,AT75,SWT,2022-02-28 17:11:30,2022-02-28 19:21:05,129.58333333333334
GMMN,LEMD,A332,THY,2022-02-01 20:39:25,2022-02-01 21:57:35,78.16666666666667
GMME,LFPB,A320,AFR,2022-02-27 13:20:10,2022-02-27 15:56:20,156.16666666666666
GMMN,LIRF,E190,RAM,2022-02-24 11:39:05,2022-02-24 14:10:45,151.66666666666666
